isin,ticker
CA05453A2074,AVU
CA05461V2012,AXMIF
CA05466C1095,AYA
CA05475P1099,AYR/A
CA05476A1012,AYUR
CA05478T2074,AAZ1EUR
CA0548271000,AZT
CA05534B7604,BCE
CA0555031065,BLOK/H
CA0556402059,BTQNF
CA05577W2004,DOO
CA0558691014,BTQ
CA0565331026,BDGI
CA0566001099,BLDS
CA0585861085,BLDP
CA0636711016,BMO
CA0641491075,BNS
CA06683K1066,BYN
CA06683R1010,BNXA
CA06766T1075,BRO
CA06849F1080,B
CA0705051021,BAT
CA07135M3021,BATX
CA0717051076,BLCO
CA0717341071,BHC
CA07278W1095,BHS
CA0728191051,BYL
CA07309M2031,BYRG
CA07317Q1054,BTE
CA07380N1042,BCM
CA0762301012,BFM
CA0765881028,BEE
CA07785T2011,BLGV
CA0805581091,BSXGF
CA0832971018,BEX
CA08345Q2080,BZ
CA08772P2026,BETRF
CA0886691066,BOIL
CA0898041086,BIGG
CA0906971035,BIREF
CA09075M1023,BIO
CA09076J2074,BHST
CA09076M2004,BIOV
CA09076N2086,VISN/H
CA09076P1045,BDT
CA09088U1093,BGI
CA0909741062,BNXT
CA09173B1076,BITF
CA09175U1030,BTCT
CA09202D2077,BDI
CA09214V1040,BKI
CA09226M2094,SWAN
CA09228F1036,BB
CA09261Q1072,BRC
CA09352R1055,BAG
CA09353K3073,BITE
CA09369M1077,BITK
CA09564P1036,BLLG
CA09570Q5095,MOON
CA0960495079,BSK
CA09607B2021,BAU
CA09609Y1016,BBM
CA09643M1059,BSKY
CA09702A1093,BA
CA0976924047,BOLT
CA0977518616,BBD/B
CA0977518798,BBD/A
CA09852X7018,BTR
CA0985461049,BNE
CA0994031072,VEGI
CA09950M3003,BLX
CA1048333068,BRAG
CA1053241073,BPAI
CA10567D2041,BVA
CA1057361026,BRAX
CA10778T1057,BRY
CA11120Q3026,BBB
CA11134P1009,AVGO
CA11222U1021,ESP
CA11259V1067,BBUC
CA11271J1075,BN
CA11276H1064,BIPC
CA11285B1085,BEPC
CA1130041058,BAM
CA11777Q2099,BTO
CA1208311029,BUEUR
CA1208313009,BU
CA1247651088,CAE
CA1249003098,CCL/B
CA12507V1040,CBLT
CA12510R1082,CDN
CA12532H1047,GIB/A
CA1254055066,OYL
CA1264621006,CRT-U
CA1266321084,CRRVF
CA1271061022,CBR
CA1295844056,CFW
CA12989J1084,CGY
CA13321L1085,CCO
CA1348011091,CF
CA1348083025,CNE
CA1348281025,CCB
CA1349211054,CAR-U
CA1350861060,GOOS
CA13515Q1037,CNC
CA1352081063,LL
CA13561D1050,CCMI
CA1358251074,CGI
CA1358702027,CAMP
CA1360691010,CM
CA1363751027,CNR
CA1363851017,CRC
CA1364271017,CNRI
CA13646K1084,CP
CA1366351098,CSIQ
CA1366812024,CTC/A
CA1367178326,CU
CA13709C1005,CVV
CA1372241010,BRAZ
CA13740E1079,CCEC
CA1375761048,CFP
CA1375842079,CFPUF
CA13758Y2015,CMID
CA1376392090,ICE
CA13765L1013,BLO
CA13765U2002,LOVE
CA13765Y1034,CBST
CA1377991023,TBF1
CA1380357048,WEED
CA13960M2013,CMIL
CA14042M1023,CPX
CA14071L1085,CSEUR
CA14075H3018,CPTR
CA14116K4046,OFSTF
CA14150G4007,CJ
CA14161Y2006,CRDL
CA14173C1059,CRRX
CA14179V5036,CJT
CA14307R2000,CCC
CA1467721082,ECRFF
CA1469001053,CAS
CA14712X1078,CASA
CA1482391069,GLDC
CA14875E1025,CAT
CA14913M1086,CATR
CA14919F3051,CBIT
CA15101Q2071,CLS
CA15135U1093,CVE
CA15138B3065,CTA
CA1520061021,CG
CA15234A4000,CNTR
CA15643T7015,CTN
CA1566151066,LCE
CA1567881018,CERT
CA1568281051,CDPR
CA15713J1049,CEU
CA15748D2059,PERU
CA16106R1091,CWEB
